rank,score,PAS,PDP,NMSE,NMSE_dB,variant,source_file,source_index,config
11,0.1958854561,0.3769422770,0.1125483140,2240.6582031250,33.5037561298,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_shape.json,1,delay_taps=16; diag_pca_true_phase_nmse_db=-3.20010759657595; diag_pred_true_phase_true_energy_nmse_db=-0.4775883490101571; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=117.15069580078125; knn_power_latent_mse=117.15069580078125; phase_k=1; power_components=192; power_pca_explained_variance_ratio_sum=0.9847876049549048; power_target_mode=shape; residual_weight=0.0
12,0.1951523751,0.3746066689,0.1130512208,2240.6687011719,33.5037764775,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_shape.json,0,delay_taps=16; diag_pca_true_phase_nmse_db=-2.8920421636652813; diag_pred_true_phase_true_energy_nmse_db=-0.4531760592830777; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=169.40000915527344; knn_power_latent_mse=169.40000915527344; phase_k=1; power_components=128; power_pca_explained_variance_ratio_sum=0.9652094756481555; power_target_mode=shape; residual_weight=0.0
13,0.1909372154,0.3792538643,0.0971805379,549.2752075195,27.3978999684,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_raw.json,3,delay_taps=16; diag_pca_true_phase_nmse_db=-3.9703871500923067; diag_pred_true_phase_true_energy_nmse_db=-0.5471396139612408; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=119.47942352294922; knn_power_latent_mse=119.47942352294922; phase_k=1; power_components=384; residual_weight=0.0
14,0.1909170356,0.3791674376,0.0972183570,550.3929443359,27.4067285790,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_raw.json,2,delay_taps=16; diag_pca_true_phase_nmse_db=-3.408583624159649; diag_pred_true_phase_true_energy_nmse_db=-0.5031784894471957; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=176.6737823486328; knn_power_latent_mse=176.6737823486328; phase_k=1; power_components=256; residual_weight=0.0
15,0.1901508164,0.3775321841,0.0969117135,534.8233642578,27.2821037156,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_raw.json,1,delay_taps=16; diag_pca_true_phase_nmse_db=-3.1924127429166864; diag_pred_true_phase_true_energy_nmse_db=-0.4778871339671736; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=233.03402709960938; knn_power_latent_mse=233.03402709960938; phase_k=1; power_components=192; residual_weight=0.0
16,0.1894141100,0.3740885258,0.0985440090,552.8691406250,27.4262234970,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_raw.json,0,delay_taps=16; diag_pca_true_phase_nmse_db=-2.8775535458780266; diag_pred_true_phase_true_energy_nmse_db=-0.45295395833617585; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=343.1758728027344; knn_power_latent_mse=343.1758728027344; phase_k=1; power_components=128; residual_weight=0.0
17,0.1873728270,0.3734246492,0.0949950516,40430.7070312500,46.0671133612,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_energy_fixed_random.json,0,delay_taps=8; hybrid_power_latent_mse=794.2421875; knn_power_latent_mse=794.2421875; phase_k=1; power_components=32; residual_weight=0.0
18,0.1873728270,0.3734246492,0.0949950516,40430.7070312500,46.0671133612,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_energy_fixed_random.json,0,delay_taps=8; hybrid_power_latent_mse=794.2421875; knn_power_latent_mse=794.2421875; phase_k=1; power_components=32; residual_weight=0.0
19,0.1829065465,0.3730312884,0.0830791965,431.5703430176,26.3505159285,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_delay_grouped.json,1,delay_taps=16; diag_pca_true_phase_nmse_db=-2.6505943113815973; diag_pred_true_phase_true_energy_nmse_db=-0.4707164808955018; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=160.32891845703125; knn_power_latent_mse=160.32891845703125; phase_k=1; power_components=256; power_pca_explained_variance_ratio_sum=0.9300655276120526; power_pca_mode=delay_grouped; power_target_mode=raw; residual_weight=0.0
20,0.1828314684,0.2890775800,0.1173490286,8.8712663651,9.4798561939,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,1,delay_taps=8; hybrid_power_latent_mse=1470.001708984375; knn_power_latent_mse=1388.4801025390625; phase_k=3; power_components=16
21,0.1813133120,0.2851801515,0.1173490211,8.8514194489,9.4701292147,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,0,delay_taps=8; hybrid_power_latent_mse=1470.001708984375; knn_power_latent_mse=1388.4801025390625; phase_k=1; power_components=16
22,0.1803826918,0.2836356461,0.1164952144,8.8375101089,9.4632992358,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_residual_weight.json,0,delay_taps=8; hybrid_power_latent_mse=777.519775390625; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=0.0
23,0.1803826918,0.2836356461,0.1164952144,8.8375101089,9.4632992358,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_residual_weight.json,0,delay_taps=8; hybrid_power_latent_mse=777.519775390625; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=0.0
24,0.1803826918,0.2836356461,0.1164952144,8.8375101089,9.4632992358,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_residual_weight.json,1,delay_taps=8; hybrid_power_latent_mse=775.7605590820312; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=0.25
25,0.1803826918,0.2836356461,0.1164952144,8.8375101089,9.4632992358,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_residual_weight.json,2,delay_taps=8; hybrid_power_latent_mse=780.638427734375; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=0.5
26,0.1803826918,0.2836356461,0.1164952144,8.8375101089,9.4632992358,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_residual_weight.json,3,delay_taps=8; hybrid_power_latent_mse=810.3049926757812; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=1.0
